,index,station,lat,lon,province
0,0,313_Cubao,14.6227,121.0528,NCR
1,8,3S Center Bagbaguin,14.71405,121.00088,NCR
2,17008,3S Center Paso De Blas,14.71071,120.99545,NCR
3,34008,3S Center Ugong,14.69397,121.00919,NCR
4,51008,ADB Courtyard (Demo),14.58828,121.05896,NCR
5,51104,ASMPH,14.59083,121.07037,NCR
6,60104,Along Shaw Blvd.,14.57863,121.05675,NCR
7,77104,Anda Circle,14.59064,120.97112,NCR
8,90343,Aurora Boulevard (Tramo) - Andrews Avenue,14.52904,121.00472,NCR
9,107343,Ayala Ave.,14.55612,121.02236,NCR
10,115490,Ayala MRT,14.5496,121.0285,NCR
11,115634,Bacolod City Araneta-Hernaez Sts,10.6635921,122.9434386,Negros Occidental
12,116008,Bacolod City San Juan-Gonzaga Sts,10.6694049,122.9453514,Negros Occidental
13,116115,Barangay Buli - Concepcion Street,14.44481,121.04586,NCR
14,132115,Barangay Fortune - Santan Street,14.66115,121.12476,NCR
15,149115,Barangay San Antonio - Parañaque-Sucat Road (Shopwise),14.45671,121.03519,NCR
16,166115,Barangay San Rafael Hall,14.63666,120.96414,NCR
17,183115,Barangay Tambo - Quirino Avenue,14.51769,120.99638,NCR
18,200115,Barangay Tanza 2 Hall,14.67508,120.93989,NCR
19,217115,Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),14.37853,121.04615,NCR
20,234115,Bataan Tourism Park,14.67759,120.5182,Bataan
21,251115,Binangonan,14.5235999,121.1645249,Rizal
22,253470,"Bo. Luz Barangay Hall, Limay",14.5507,120.5975,Bataan
23,270470,Boni Serrano,14.61071,121.05484,NCR
24,279699,Bradco Ave. cor Macapagal,14.52917,120.98988,NCR
25,296699,Brgy. Ambassador,16.497420178832407,120.6534127,Benguet
26,305523,"Brgy. Benedicto, Jaro, Iloilo",10.7258204,122.5580665,Iloilo
27,319570,"Brgy. East Timawa, Molo",10.696736,122.5488203,Iloilo
28,319774,Brgy. Infante,10.6941494,122.5551708,Iloilo
29,330353,C3 Road (5th Avenue) - Rizal Avenue Extension,14.64443,120.98409,NCR
30,347353,Caloocan Sports Complex,14.75097,121.02042,NCR
31,364353,Central Philippine University,10.731469678756133,122.546953,Iloilo
32,379901,DENR Compound Parola,10.69402520703875,122.580963,Iloilo
33,379904,DLSU Laguna,14.26266,121.04338,Laguna
34,379930,"Daet, Camarines Norte (Roadside)",14.1157,122.9551,Camarines Norte
35,380429,Demo Unit 1,14.58594,121.02932,NCR
36,390058,Demo Unit 2,15.0247,120.68723,Pampanga
37,407058,Demo Unit 4,15.19384,120.63862,Pampanga
38,414090,Gen. Luna St. corner Gov. Pascual Ave.,14.66963,120.94676,NCR
39,426085,Illumina,7.143752,125.625054,Davao del Sur
40,432237,"Iloilo City, Augustine Grove Subd.",10.735369779100294,122.537027,Iloilo
41,448465,J.P. Rizal Avenue corner Camia,14.56746,121.03929,NCR
42,465465,J.P. Rizal Avenue corner Pertierra,14.56838,121.02845,NCR
43,482465,Kalayaan Avenue  - South Avenue Intersection,14.5688,121.01795,NCR
44,499465,"Lamao, Limay",14.515,120.609,Bataan
45,516465,Lapu-Lapu City,10.32645,123.97871,Cebu
46,517161,Las Pinas,14.437546,121.000088,NCR
47,523425,MNHS AQ Station,10.99814,125.64968,Eastern Samar
48,539384,Makati Avenue  - Antonio Arnaiz Avenue Intersection,14.5507,121.02221,NCR
49,556384,Makati Avenue - Buendia Avenue Intersection,14.56127,121.02799,NCR
50,573384,Malabon Action Center,14.66916,120.97576,NCR
51,590384,Mall of Asia Sensor,14.536036,120.985543,NCR
52,590816,Mandaluyong City,14.58455,121.01877,NCR
53,607816,Mandaluyong Elementary School,14.58655,121.02549,NCR
54,624816,Manila,14.57711,120.9778,NCR
55,641816,Manila Observatory,14.6354,121.0779,NCR
56,652724,Marikina,14.65568,121.11149,NCR
57,652726,Marikina Sports Complex,14.6341,121.09803,NCR
58,669726,Mariveles Municipal Hall,14.436,120.4903,Bataan
59,670817,"Monumento, Caloocan",14.65744,120.98362,NCR
60,687817,NASA GSFC Rutgers Calib. N12,14.63525,121.07784,NCR
61,704817,"Near Katipunan Ave., Quezon City",14.63842,121.0767,NCR
62,721817,Near Puregold Tayuman,14.61825,120.97142,NCR
63,734801,Near Sucat Interchange/Exit,14.45627,121.04569,NCR
64,751801,North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),14.7459495,121.0101457,NCR
65,756810,Old Wack Wack Road corner Shaw Boulevard,14.58734,121.04665,NCR
66,773810,Ortigas,14.58853,121.05822,NCR
67,789810,Ortigas Avenue-Roosevelt Intersection,14.60346,121.04448,NCR
68,806810,Pasay Rotonda,14.53766,121.00039,NCR
69,807630,Pasay-Taft,14.5377,121.00094,NCR
70,818531,Pateros Bridge,14.5457,121.06514,NCR
71,835531,Pinya Farm,14.143177,120.984941,Cavite
72,837928,President Roxas,11.43032,122.926229,Capiz
73,840694,"Quezon Rd, San Simon",15.00045,120.7505,Pampanga
74,856686,Rajah Sulayman Park,14.569,120.98366,NCR
75,867595,Ramon Avancena High School,14.593565,120.989459,NCR
76,867715,Robinson's Equitable Tower (Indoor),14.58944,121.05978,NCR
77,867785,STRC,14.56637517989103,120.9922368,NCR
